collectiviteNom,collectiviteSiret,annee,semaineNumero,typeEDP,nbEDPdeployes,nbTrajets
Ville de Marseille,21130055300016,2020,1,Trottinette électrique,2201,15407
Ville de Marseille,21130055300016,2020,2,Trottinette électrique,2072,23775
Ville de Marseille,21130055300016,2020,3,Trottinette électrique,1863,21356
Ville de Marseille,21130055300016,2020,4,Trottinette électrique,1899,16218
Ville de Marseille,21130055300016,2020,5,Trottinette électrique,1993,18122
Ville de Marseille,21130055300016,2020,6,Trottinette électrique,1912,19299
Ville de Marseille,21130055300016,2020,7,Trottinette électrique,1882,18119
Ville de Marseille,21130055300016,2020,8,Trottinette électrique,1856,17766
Ville de Marseille,21130055300016,2020,9,Trottinette électrique,1856,13721
Ville de Marseille,21130055300016,2020,10,Trottinette électrique,1937,15771
Ville de Marseille,21130055300016,2020,11,Trottinette électrique,0,0
Ville de Marseille,21130055300016,2020,12,Trottinette électrique,0,0
Ville de Marseille,21130055300016,2020,13,Trottinette électrique,0,0
Ville de Marseille,21130055300016,2020,14,Trottinette électrique,0,0
Ville de Marseille,21130055300016,2020,15,Trottinette électrique,0,0
Ville de Marseille,21130055300016,2020,16,Trottinette électrique,0,0
Ville de Marseille,21130055300016,2020,17,Trottinette électrique,0,0
Ville de Marseille,21130055300016,2020,18,Trottinette électrique,0,0
Ville de Marseille,21130055300016,2020,19,Trottinette électrique,0,0
Ville de Marseille,21130055300016,2020,20,Trottinette électrique,0,0
Ville de Marseille,21130055300016,2020,21,Trottinette électrique,500,4500
Ville de Marseille,21130055300016,2020,22,Trottinette électrique,1370,10948
Ville de Marseille,21130055300016,2020,23,Trottinette électrique,1470,11750
Ville de Marseille,21130055300016,2020,24,Trottinette électrique,1530,13115
Ville de Marseille,21130055300016,2020,25,Trottinette électrique,1820,13880
Ville de Marseille,21130055300016,2020,26,Trottinette électrique,1970,17414
Ville de Marseille,21130055300016,2020,27,Trottinette électrique,2629,25322
Ville de Marseille,21130055300016,2020,28,Trottinette électrique,2818,28467
Ville de Marseille,21130055300016,2020,29,Trottinette électrique,2690,28683
Ville de Marseille,21130055300016,2020,30,Trottinette électrique,2981,25587
Ville de Marseille,21130055300016,2020,31,Trottinette électrique,2924,35300
Ville de Marseille,21130055300016,2020,32,Trottinette électrique,3195,41809
Ville de Marseille,21130055300016,2020,33,Trottinette électrique,3028,44653
Ville de Marseille,21130055300016,2020,34,Trottinette électrique,2900,41408
Ville de Marseille,21130055300016,2020,35,Trottinette électrique,2823,31711
Ville de Marseille,21130055300016,2020,36,Trottinette électrique,2906,29755
Ville de Marseille,21130055300016,2020,37,Trottinette électrique,2926,32554
Ville de Marseille,21130055300016,2020,38,Trottinette électrique,3123,32783
Ville de Marseille,21130055300016,2020,39,Trottinette électrique,3389,25928
Ville de Marseille,21130055300016,2020,40,Trottinette électrique,3326,23049
Ville de Marseille,21130055300016,2020,41,Trottinette électrique,3088,26361
Ville de Marseille,21130055300016,2020,42,Trottinette électrique,3114,25450
Ville de Marseille,21130055300016,2020,43,Trottinette électrique,3169,23248
Ville de Marseille,21130055300016,2020,44,Trottinette électrique,3194,18166
Ville de Marseille,21130055300016,2020,45,Trottinette électrique,3068,15701
Ville de Marseille,21130055300016,2020,46,Trottinette électrique,3013,17099
Ville de Marseille,21130055300016,2020,47,Trottinette électrique,3137,17256
Ville de Marseille,21130055300016,2020,48,Trottinette électrique,3105,20732
Ville de Marseille,21130055300016,2020,49,Trottinette électrique,3029,18888
Ville de Marseille,21130055300016,2020,50,Trottinette électrique,3160,17135
Ville de Marseille,21130055300016,2020,51,Trottinette électrique,3056,20267
Ville de Marseille,21130055300016,2020,52,Trottinette électrique,3084,13502
Ville de Marseille,21130055300016,2020,53,Trottinette électrique,2770,12702
