"collectiviteNom","collectiviteSiret","annee","semaineNumero","typeEDP","nbEDPdeployes","nbTrajets"
"Ville de Marseille",21130055300016,2021,1,"Trottinette électrique",2836,15432
"Ville de Marseille",21130055300016,2021,2,"Trottinette électrique",2534,16569
"Ville de Marseille",21130055300016,2021,3,"Trottinette électrique",2629,17286
"Ville de Marseille",21130055300016,2021,4,"Trottinette électrique",2763,18090
"Ville de Marseille",21130055300016,2021,5,"Trottinette électrique",2533,19384
"Ville de Marseille",21130055300016,2021,6,"Trottinette électrique",2612,21759
"Ville de Marseille",21130055300016,2021,7,"Trottinette électrique",2609,22784
"Ville de Marseille",21130055300016,2021,8,"Trottinette électrique",2781,22390
"Ville de Marseille",21130055300016,2021,9,"Trottinette électrique",2855,25211
"Ville de Marseille",21130055300016,2021,10,"Trottinette électrique",3189,28134
"Ville de Marseille",21130055300016,2021,11,"Trottinette électrique",3194,26268
"Ville de Marseille",21130055300016,2021,12,"Trottinette électrique",3475,30429
"Ville de Marseille",21130055300016,2021,13,"Trottinette électrique",3364,33426
"Ville de Marseille",21130055300016,2021,14,"Trottinette électrique",3132,22389
"Ville de Marseille",21130055300016,2021,15,"Trottinette électrique",3316,23663
"Ville de Marseille",21130055300016,2021,16,"Trottinette électrique",3471,27842
"Ville de Marseille",21130055300016,2021,17,"Trottinette électrique",3538,22073
"Ville de Marseille",21130055300016,2021,18,"Trottinette électrique",3932,36260
"Ville de Marseille",21130055300016,2021,19,"Trottinette électrique",4007,32915
"Ville de Marseille",21130055300016,2021,20,"Trottinette électrique",4017,41914
"Ville de Marseille",21130055300016,2021,21,"Trottinette électrique",4129,39187
"Ville de Marseille",21130055300016,2021,22,"Trottinette électrique",4447,33735
